id,CT_11,TR_12,TR_13,TR_14,TR_15,CT_16,CT_17
140,85,4,47,63,90,11,72
141,18,62,66,55,14,56,65
142,53,51,94,12,92,94,3
143,79,90,88,8,88,96,50
144,78,60,81,70,63,94,72
145,85,18,22,21,79,59,44
146,44,55,44,15,76,61,81
147,53,64,44,40,71,67,31
148,30,11,35,46,67,64,85
149,51,73,73,19,83,36,61
150,84,3,73,73,99,87,52
151,8,15,71,21,48,79,12
152,0,80,73,80,85,7,62
153,77,93,27,54,57,58,57
154,12,76,85,43,33,21,89
155,42,91,3,83,38,18,74
156,66,69,70,32,31,4,72
157,25,77,14,20,31,14,3
158,36,80,40,40,86,92,81
159,68,79,10,76,66,67,56
160,55,13,23,18,0,99,66
161,26,62,45,84,4,68,25
162,79,89,67,27,79,85,14
163,39,45,69,92,64,20,67
164,45,46,35,80,32,17,51
165,15,84,93,78,11,16,80
166,14,80,70,53,4,64,31
167,3,82,51,47,54,35,96
168,98,43,71,62,92,56,44
169,86,57,26,62,24,23,36
170,87,83,22,86,69,85,63
171,75,68,41,98,29,37,85
172,18,13,5,48,87,80,14
173,74,36,16,22,23,75,57
174,36,89,24,88,55,34,28
175,41,72,70,33,77,89,3
176,85,51,59,91,55,2,68
177,50,70,90,33,12,32,69
178,35,13,75,49,47,20,10
179,46,46,4,37,70,6,16
180,40,39,57,26,25,5,78
181,5,9,79,68,9,78,96
182,98,67,32,99,63,46,27
183,26,52,91,84,46,75,84
184,39,72,52,78,48,13,63
185,82,83,79,4,100,57,39
186,9,13,35,19,45,18,21
187,46,35,91,27,13,23,8
188,66,40,85,98,77,29,83
189,38,30,40,94,21,27,1
190,59,49,90,63,99,47,66
191,5,10,16,47,16,82,75
192,54,41,69,36,70,19,74
193,70,41,54,23,3,82,19
194,90,92,54,94,65,49,26
195,39,4,44,94,62,2,41
196,89,8,25,16,7,78,45
197,60,12,84,31,33,65,7
198,92,93,93,40,36,43,74
199,4,46,97,43,12,40,41
200,64,63,54,62,5,21,0
201,65,62,11,68,1,2,41
202,53,36,49,39,2,2,39
203,32,55,68,63,34,63,21
204,50,72,61,19,75,52,45
205,0,25,89,7,17,74,51
206,97,92,78,86,58,77,23
207,96,88,17,58,5,12,55
208,88,73,58,8,66,66,7
209,48,96,77,24,85,21,72
210,83,72,73,41,45,77,53
211,63,65,0,47,100,45,31
212,24,87,62,6,87,76,32
213,34,46,44,76,73,10,70
214,15,74,39,53,58,39,58
215,14,36,6,9,62,17,76
216,49,13,4,77,31,9,13
217,34,4,44,73,56,13,45
218,96,71,94,41,39,30,43
219,91,95,15,73,97,10,19
220,2,47,96,7,58,59,79
221,65,44,13,22,57,88,89
222,27,92,81,92,59,3,69
223,66,50,6,15,51,63,61
224,66,8,7,58,93,58,85
225,89,71,56,87,10,63,70
226,83,93,57,2,32,58,42
227,5,99,43,91,34,83,35
228,25,97,59,7,80,76,93
229,32,52,70,29,91,36,6
230,65,5,22,12,54,2,40
231,14,31,20,82,77,32,22
232,48,88,50,40,72,4,92
233,43,82,85,13,73,77,2
234,86,12,47,3,39,43,4
235,65,44,65,79,20,91,89
236,57,88,23,2,81,18,65
237,19,67,37,30,11,70,40
238,29,17,28,64,81,100,100
239,63,46,74,42,98,24,41
240,80,19,85,74,18,84,81
241,45,29,70,11,90,54,19
242,69,38,10,92,74,10,79
243,41,84,22,68,24,22,84
244,62,7,83,45,55,92,20
245,93,67,93,8,7,94,26
246,31,25,65,86,7,49,81
247,4,25,100,98,5,99,38
248,56,65,75,26,5,92,45
249,11,24,2,3,15,47,31
250,87,95,21,96,94,44,64
251,3,55,60,70,83,100,11
252,93,31,88,53,89,68,81
253,71,58,81,6,47,69,22
254,13,15,67,73,2,97,7
255,66,46,0,89,6,67,62
256,25,23,20,40,89,36,1
257,3,3,9,99,46,36,18
258,21,14,2,26,85,71,81
259,31,77,67,6,19,78,68
260,64,23,56,40,84,76,15
261,0,15,41,55,58,2,73
262,67,90,2,68,87,55,6
263,67,65,89,2,46,83,90
264,84,45,30,21,72,100,40
265,12,76,95,59,63,5,48
266,38,90,73,49,8,84,59
267,3,84,72,88,83,50,49
268,49,76,2,83,1,6,18
269,20,31,84,68,28,27,51
270,29,36,6,73,12,87,100
271,59,12,60,97,16,51,4
272,16,22,42,44,53,55,7
273,10,38,41,57,16,5,82
274,65,11,34,30,28,96,66
275,70,62,84,48,15,86,18
276,51,59,0,40,43,71,37
277,68,32,31,84,43,80,0
278,4,45,39,74,20,78,77
279,3,63,61,16,64,41,99
280,53,12,90,88,77,98,82
281,24,7,23,49,34,40,44
282,75,90,49,36,92,80,63
283,12,29,80,68,65,55,55
284,21,92,60,32,70,64,68
285,20,85,82,41,35,73,13
286,18,15,59,57,18,36,74
287,100,13,35,63,15,63,66
288,59,92,59,44,49,62,37
289,13,77,42,60,73,75,39
290,96,59,74,22,70,18,24
291,12,83,24,25,37,17,88
292,7,99,12,66,26,77,9
293,36,45,67,99,27,48,19
294,71,51,61,70,44,2,39
295,2,96,92,84,88,22,34
296,67,54,69,92,62,14,48
297,36,33,31,96,20,64,56
298,96,18,28,71,74,95,1
299,74,91,64,7,39,42,83
300,20,59,56,21,95,52,8
301,78,33,27,91,74,83,90
302,0,41,5,2,16,47,26
303,35,15,90,51,7,75,68
304,90,89,70,78,67,26,49
305,44,50,3,45,12,22,79
306,73,87,28,29,20,70,36
307,77,44,48,51,86,16,64
308,90,30,30,80,97,59,6
309,77,2,65,43,9,7,30
310,80,21,80,52,22,44,30
311,61,79,90,39,41,56,35
312,18,48,90,89,30,83,94
313,98,36,96,98,52,98,48
314,61,76,4,73,79,42,73
315,61,74,11,34,16,95,41
316,23,96,41,7,5,92,37
317,48,74,40,58,77,46,13
318,33,58,84,55,2,22,78
319,81,35,90,39,3,41,21
320,32,53,31,98,44,92,53
321,96,53,53,92,86,9,14
322,50,64,38,89,32,5,93
323,38,52,100,92,49,18,94
324,22,7,26,18,17,47,43
325,81,9,84,95,64,87,93
326,11,0,14,81,38,25,54
327,66,80,18,87,89,52,33
328,28,27,97,46,55,19,65
329,14,97,93,34,16,20,36
330,35,66,58,29,93,52,25
331,87,13,78,98,1,54,15
332,65,56,31,39,31,47,66
333,63,15,82,2,48,79,51
334,21,86,74,93,56,32,34
335,37,91,82,3,71,69,90
336,27,15,64,47,70,75,69
337,81,31,77,46,58,90,44
338,35,80,68,98,13,2,46
339,33,2,55,72,70,76,24
340,13,32,93,76,33,68,6
341,4,65,49,91,91,90,84
342,8,52,73,50,59,71,86
343,40,87,79,86,34,19,76
344,84,99,70,5,88,20,62
345,90,24,36,66,38,10,70
346,36,47,23,26,12,26,100
347,85,68,0,47,79,56,23
348,91,63,67,70,40,10,88
349,72,17,25,56,26,5,89
350,1,32,37,95,96,57,15
351,32,4,56,68,21,8,63
352,71,37,61,62,74,22,70
353,48,86,66,57,15,71,74
354,18,61,13,49,91,28,93
355,53,79,47,50,35,44,94
356,19,86,27,67,35,53,19
357,69,88,15,94,40,63,61
358,97,47,15,82,27,1,41
359,24,26,28,85,100,93,97
360,69,47,11,19,25,2,33
361,59,94,47,91,62,48,47
362,58,54,15,0,20,40,19
363,56,22,81,22,2,76,29
364,23,69,50,28,93,30,64
365,24,14,26,83,0,6,53
366,27,11,17,83,90,39,9
367,90,21,52,19,30,70,47
368,26,42,54,93,89,20,60
369,62,52,65,73,0,31,42
370,58,62,54,85,48,71,4
371,90,37,20,44,78,19,84
372,37,74,49,76,83,24,100
373,15,19,50,0,33,42,35
374,58,28,63,96,20,89,62
375,81,71,71,37,22,15,4
376,75,5,62,23,99,56,14
377,27,9,97,93,17,23,12
378,12,100,2,76,59,73,68
379,65,79,85,87,50,91,2
380,85,22,81,3,53,61,43
381,96,98,11,15,42,37,21
382,29,12,49,3,32,54,81
383,44,77,15,45,60,8,18
384,99,61,98,32,100,83,16
385,74,91,9,63,47,24,11
386,9,23,20,68,89,36,17
387,9,89,58,43,60,29,33
388,45,19,82,78,33,35,83
389,3,77,43,8,83,58,88
390,62,22,91,67,27,71,66
391,32,65,22,46,11,20,39
392,13,35,64,88,4,17,45
393,2,25,83,92,1,42,3
394,15,87,76,79,41,14,38
395,54,82,0,77,48,35,10
396,57,23,57,27,83,73,92
397,69,97,100,92,0,22,90
398,5,42,5,100,76,25,98
399,39,78,44,49,27,53,99
400,53,75,34,49,66,99,83
401,55,13,94,65,61,59,1
402,64,1,77,54,76,33,74
403,75,52,79,6,12,65,49
404,9,76,20,96,56,88,39
405,7,38,64,7,75,84,6
406,97,67,66,32,96,69,4
407,43,44,22,11,15,94,88
408,53,57,12,62,34,49,18
409,95,94,62,94,16,29,29
410,93,93,89,37,10,54,81
411,55,38,9,2,29,25,83
412,30,92,60,23,58,64,76
413,6,99,43,52,77,6,24
414,42,74,49,20,21,5,7
415,68,47,28,16,75,66,100
416,69,2,48,11,43,13,8
417,42,75,2,80,14,96,34
418,32,42,52,26,12,88,47
419,79,81,5,1,19,31,92
420,31,36,86,84,47,87,77
421,10,34,4,26,75,72,9
422,33,98,55,36,93,90,92
423,100,8,68,19,32,79,88
424,60,41,6,50,1,23,26
425,98,14,29,86,61,60,39
426,60,61,45,9,36,56,34
427,83,17,17,6,98,30,67
428,15,23,43,32,5,46,25
429,93,73,63,13,10,30,67
430,9,28,37,37,18,82,88
431,4,18,30,100,58,45,17
432,21,46,8,42,75,51,92
433,55,57,3,44,94,57,25
434,17,98,22,42,10,19,67
435,25,39,25,2,31,88,4
436,77,15,64,22,20,16,32
437,2,41,74,76,71,33,23
438,47,33,27,59,95,11,73
439,33,10,60,0,10,47,41
440,44,39,29,33,78,2,30
441,23,38,64,87,42,4,25
442,78,50,46,53,37,46,83
443,62,26,55,0,63,57,2
444,18,79,99,60,63,93,14
445,47,38,32,88,92,98,30
446,14,36,27,68,29,86,30
447,18,59,25,63,67,64,30
448,31,53,44,30,30,98,97
449,24,15,38,43,81,8,20
450,21,11,43,19,84,44,33
451,81,98,56,58,17,10,60
452,44,84,84,84,51,62,78
453,81,90,13,58,13,90,55
454,4,54,51,98,21,25,86
455,82,80,99,63,96,63,10
456,84,66,51,79,74,97,4
457,82,71,82,83,100,87,37
458,35,19,57,65,88,74,93
459,99,67,95,100,87,98,90
460,29,28,30,84,80,70,16
461,85,22,52,88,55,62,44
462,2,92,52,20,16,78,76
463,55,68,51,77,9,44,30
464,68,57,85,50,56,96,96
465,88,91,69,79,5,91,15
466,19,10,32,87,79,73,56
467,67,61,84,91,51,54,66
468,29,80,78,0,70,56,49
