id,TR_41,TR_42,TR_43,CT_44,TR_45,TR_46,CT_47,CT_48
208,90,68,9,85,72,10,49,18
209,89,82,94,84,50,23,97,57
210,69,59,55,89,34,71,29,18
211,18,40,72,54,6,89,13,74
212,44,58,11,85,5,20,93,70
213,41,54,71,44,35,40,79,100
214,80,67,69,12,100,66,50,48
215,35,94,70,20,36,81,33,5
216,36,30,19,6,46,99,96,89
217,27,27,35,26,61,57,24,42
218,75,72,68,60,78,42,67,93
219,69,15,83,0,22,75,32,51
220,61,76,23,53,52,10,76,89
221,84,6,99,51,24,0,98,90
222,97,92,50,20,92,45,89,96
223,27,26,87,65,28,36,72,12
224,30,70,16,10,18,44,32,37
225,83,38,82,42,44,72,23,57
226,96,74,90,84,3,35,100,72
227,63,38,95,44,68,6,38,79
228,29,66,82,72,45,10,46,100
229,90,67,45,5,92,87,41,36
230,7,17,68,8,35,43,33,26
231,68,24,58,41,58,80,93,68
232,84,9,55,37,70,87,74,86
233,65,17,71,24,93,13,13,66
234,44,7,35,6,93,98,5,50
235,74,37,90,53,94,81,32,41
236,47,61,5,89,72,36,26,74
237,1,6,62,84,19,76,56,27
238,91,17,1,21,20,85,88,86
239,78,57,55,17,32,93,73,21
240,44,0,37,89,96,27,39,99
241,62,38,75,55,87,60,53,92
242,65,16,42,74,7,47,30,6
243,19,83,80,11,79,64,65,3
244,61,33,73,74,42,28,16,60
245,69,89,29,92,80,90,31,1
246,12,8,85,40,50,42,11,45
247,32,43,64,15,59,70,69,31
248,45,50,15,64,49,45,82,2
249,85,46,25,92,97,61,51,91
250,86,53,81,43,28,84,0,64
251,13,46,6,6,83,52,32,18
252,90,90,2,12,34,74,78,66
253,41,40,100,80,24,74,6,79
254,97,93,49,3,61,70,32,38
255,0,28,12,96,51,58,81,10
256,62,54,81,54,9,78,62,44
257,28,54,22,52,64,70,4,96
258,34,76,13,20,9,6,69,23
259,12,5,20,57,97,43,36,90
260,55,47,40,88,8,95,99,11
261,53,17,34,8,97,91,91,75
262,17,57,31,94,70,84,4,4
263,18,70,23,3,73,59,81,79
264,32,5,16,21,95,90,0,41
265,2,63,93,95,63,38,34,46
266,31,38,80,18,2,74,39,55
267,57,41,67,38,5,32,87,50
268,76,4,45,63,92,9,60,61
269,17,33,44,64,17,16,90,15
270,48,26,23,71,6,13,14,58
271,27,4,78,52,54,17,88,66
272,5,62,69,81,60,12,46,15
273,90,84,19,31,47,74,56,71
274,36,10,85,51,49,30,34,42
275,58,65,86,66,53,59,7,59
276,20,26,44,32,58,79,6,39
277,97,28,84,43,41,50,2,88
278,43,100,37,11,2,90,55,100
279,31,6,16,69,81,92,83,10
280,96,62,51,38,42,67,15,18
281,35,17,25,98,46,77,86,10
282,74,54,62,50,44,29,65,74
283,39,97,74,100,83,73,35,70
284,87,65,34,58,59,33,72,49
285,71,9,57,74,10,29,49,63
286,51,41,47,72,40,62,48,25
287,58,100,83,5,57,1,75,10
288,97,72,49,93,97,1,77,40
289,35,44,89,66,87,72,66,79
290,18,5,37,97,47,57,56,53
291,93,77,48,100,89,37,44,40
292,21,97,22,29,66,55,87,85
293,74,48,84,52,38,50,2,60
294,33,77,75,24,42,8,30,48
295,41,73,83,13,49,41,10,53
296,52,25,2,8,89,8,72,60
297,35,11,23,1,35,27,99,56
298,28,88,92,60,1,61,9,21
299,82,77,0,57,8,53,38,25
300,6,90,25,97,84,67,91,19
301,16,51,95,61,33,60,11,76
302,8,75,6,23,82,92,35,69
303,56,60,62,33,48,31,92,1
304,44,40,69,59,61,60,94,22
305,37,18,91,93,100,66,6,52
306,93,40,81,71,33,61,48,84
307,41,35,6,74,60,23,70,51
308,48,100,67,3,31,41,82,93
309,97,17,30,43,16,15,68,60
310,36,23,86,20,62,80,71,64
311,73,75,97,56,39,82,3,82
312,18,21,20,36,77,18,75,86
313,76,33,60,81,36,17,15,86
314,42,31,44,37,67,31,23,15
315,73,35,56,57,50,0,76,89
316,88,10,21,15,76,74,90,85
317,45,34,6,22,1,58,55,51
318,48,57,90,51,5,16,50,80
319,32,78,100,33,60,2,11,18
320,91,5,2,85,89,42,58,17
321,57,52,83,40,29,44,36,82
322,19,96,81,56,34,57,7,16
323,49,88,18,8,39,8,13,53
324,87,6,81,24,93,68,66,70
325,8,26,56,77,15,33,95,96
326,95,9,4,35,54,3,55,46
327,81,64,25,65,66,39,34,82
328,58,1,84,36,90,62,78,9
329,98,85,97,38,77,74,22,90
330,97,26,3,79,76,22,25,82
331,62,31,39,75,48,87,7,8
332,74,0,16,40,12,82,51,97
333,17,91,67,96,39,31,41,28
334,6,14,96,91,78,86,34,67
335,49,4,47,44,96,74,60,78
336,69,14,43,65,63,16,99,98
337,16,43,89,85,79,97,81,63
338,10,81,38,67,62,44,86,50
339,85,29,65,11,34,68,93,80
340,24,42,60,20,84,56,45,79
341,42,23,89,100,90,7,18,95
342,81,46,17,54,70,64,58,38
343,59,28,20,23,44,74,72,85
344,86,76,63,5,18,83,14,95
345,50,35,3,3,55,23,85,74
346,74,72,52,91,53,78,38,88
347,9,83,34,4,48,88,92,45
348,25,53,71,8,63,75,18,22
349,82,73,21,98,95,91,54,82
350,80,6,60,68,77,25,80,75
351,22,13,97,25,60,24,38,16
352,15,59,40,75,7,95,60,47
353,21,0,45,13,85,86,43,64
354,88,71,83,45,75,87,88,39
355,95,19,45,94,26,65,49,37
356,5,22,62,69,10,54,69,87
357,66,0,74,16,10,7,71,20
358,93,50,97,44,12,93,20,89
359,35,95,97,38,72,19,99,90
360,11,26,97,84,35,84,73,12
361,89,86,33,50,71,80,55,1
362,37,36,7,68,84,60,17,60
363,5,49,39,19,56,24,15,51
364,1,61,66,78,41,93,97,37
365,88,42,2,57,37,74,98,97
366,5,48,88,42,63,50,77,65
367,31,28,48,7,51,48,89,82
368,37,21,13,69,79,35,64,78
369,36,29,93,94,85,93,26,23
370,83,7,38,64,53,17,57,69
371,36,38,77,85,69,36,84,22
372,32,86,61,26,34,96,80,64
373,0,88,54,15,15,3,87,96
374,82,36,57,28,0,82,83,77
375,36,27,4,82,35,86,61,71
376,56,69,9,61,81,9,40,68
377,97,60,41,51,27,74,48,71
378,67,84,62,37,100,48,85,15
379,57,4,7,67,42,13,19,30
380,3,48,86,60,64,48,95,85
381,34,28,20,86,66,97,72,70
382,25,32,63,28,17,81,12,27
383,38,50,70,92,48,21,23,34
384,84,43,25,10,67,15,18,23
385,28,14,78,42,90,81,76,35
386,17,31,54,79,18,18,57,55
387,52,41,25,17,21,39,81,90
388,91,97,83,56,43,44,72,87
389,0,47,20,59,98,75,62,66
390,65,92,27,38,89,49,75,19
391,72,18,94,16,16,76,45,4
392,97,53,84,99,100,19,70,88
393,65,3,54,71,79,40,17,40
394,44,65,63,48,94,25,13,13
395,52,21,93,59,63,35,54,59
396,34,92,64,4,97,91,41,27
397,38,11,21,84,41,81,41,79
398,3,20,72,8,69,94,79,34
399,14,39,1,9,36,54,15,34
400,37,34,6,89,19,38,78,97
401,74,46,82,60,18,83,77,92
402,85,64,27,35,61,69,30,100
403,59,28,47,18,36,43,91,9
404,64,59,79,2,34,38,67,24
405,66,41,98,5,30,97,84,56
406,78,68,10,84,83,100,38,62
407,57,82,18,26,77,62,38,78
408,76,46,28,33,54,23,23,9
409,3,50,50,56,98,76,79,87
410,87,86,9,65,66,12,59,66
411,10,64,70,61,32,70,71,22
412,4,85,100,100,59,30,41,25
413,87,11,49,30,49,28,65,75
414,29,23,25,5,32,15,28,19
415,65,15,61,78,87,82,29,11
416,3,55,34,48,62,91,20,20
417,75,68,38,100,78,85,18,9
418,71,12,63,7,21,72,59,18
419,47,93,100,95,34,19,63,54
420,91,22,93,37,52,84,72,40
421,33,43,64,34,9,34,40,85
422,79,57,23,17,88,9,24,46
423,5,92,30,26,100,53,68,28
424,40,31,5,13,67,80,34,84
425,68,7,93,67,78,61,26,48
426,97,49,71,66,83,52,17,11
427,77,85,14,93,57,61,84,14
428,37,89,7,25,9,46,69,66
429,71,100,60,62,97,14,17,1
430,91,47,63,34,46,28,63,54
431,2,60,68,63,70,88,60,74
432,31,12,40,74,8,10,81,22
433,34,5,16,60,57,53,85,44
434,79,73,74,58,0,20,58,97
435,26,100,66,2,29,21,25,21
436,86,81,68,30,2,30,77,17
437,74,71,3,17,16,86,28,22
438,93,24,35,57,80,14,53,91
439,39,46,55,40,76,80,48,13
440,79,64,64,28,79,23,36,25
441,21,97,90,52,29,90,59,81
442,60,45,71,80,32,28,66,75
443,79,94,2,70,54,98,19,56
444,36,21,46,67,19,31,61,52
445,0,74,96,60,96,53,15,28
446,13,64,60,95,81,6,28,32
447,15,54,62,46,60,23,17,15
448,76,15,63,45,87,95,88,13
449,70,0,49,7,21,41,5,74
450,21,39,94,93,71,33,80,88
451,28,15,87,78,40,66,92,17
452,63,23,99,66,37,51,13,100
453,0,30,82,89,12,88,25,93
454,96,28,41,65,15,20,21,1
