id,CT_31,TR_32,CT_33,CT_34,TR_35,CT_36,CT_37,TR_38
207,94,82,81,54,34,15,37,54
208,81,18,59,61,9,64,60,20
209,60,20,33,20,6,94,65,19
210,24,58,9,47,74,8,40,76
211,95,68,0,22,30,64,41,34
212,93,96,25,10,45,19,23,66
213,16,4,94,34,24,28,21,21
214,81,47,42,35,44,67,2,44
215,38,54,28,8,45,85,89,38
216,3,90,91,77,84,33,2,98
217,100,90,71,99,12,32,28,42
218,64,78,48,64,15,82,72,26
219,16,66,14,90,13,67,87,3
220,87,3,87,4,31,39,0,67
221,86,67,39,27,97,33,57,45
222,55,61,60,51,89,56,34,14
223,0,99,0,73,59,62,75,33
224,63,94,54,12,89,59,79,15
225,37,50,48,69,85,12,25,65
226,68,27,37,45,39,22,15,86
227,64,43,71,36,37,95,17,19
228,76,27,24,56,43,19,21,74
229,22,100,100,8,51,47,30,59
230,95,5,88,74,79,0,74,56
231,49,30,34,78,39,43,38,79
232,75,94,14,2,89,18,26,70
233,5,62,46,80,1,36,49,35
234,95,52,6,7,62,28,7,8
235,39,46,26,20,71,27,16,42
236,41,7,69,60,47,63,35,95
237,41,88,69,91,70,70,49,33
238,86,62,7,76,94,19,53,34
239,10,69,50,15,19,52,46,14
240,15,90,21,56,3,4,28,84
241,37,94,9,87,68,95,59,65
242,77,54,80,31,39,66,70,22
243,53,42,98,27,93,30,44,5
244,28,32,75,46,66,93,87,12
245,67,50,89,65,73,0,78,57
246,75,29,18,88,73,15,6,35
247,65,70,6,80,19,90,7,43
248,14,78,17,69,39,46,18,13
249,63,9,51,100,35,62,24,51
250,75,79,52,85,29,0,73,54
251,46,23,69,95,49,56,28,29
252,15,75,15,24,35,8,74,14
253,28,31,90,16,96,67,91,66
254,69,61,95,67,77,37,69,66
255,66,36,43,99,64,80,78,63
256,95,83,93,46,12,24,42,81
257,39,95,72,36,16,67,19,68
258,62,73,68,6,56,50,58,29
259,36,58,86,85,31,62,63,1
260,3,55,90,74,24,26,70,51
261,72,37,48,97,95,71,9,93
262,68,23,56,50,43,77,93,67
263,40,83,30,44,32,40,28,63
264,88,90,17,98,44,17,52,64
265,95,38,97,14,7,19,37,31
266,89,34,48,54,31,19,6,37
267,59,21,62,36,75,23,54,53
268,67,71,6,52,51,66,1,35
269,97,5,30,71,5,54,22,73
270,26,2,49,42,19,11,49,63
271,46,47,31,84,54,65,61,61
272,3,24,29,28,34,11,56,95
273,79,40,76,85,47,11,18,7
274,96,95,14,23,85,97,7,38
275,4,0,54,70,23,75,56,62
276,79,62,2,66,3,32,80,10
277,97,61,81,3,13,94,33,7
278,91,70,88,33,12,79,69,51
279,27,25,57,97,51,48,96,87
280,24,93,17,91,23,80,1,48
281,29,25,92,12,18,24,90,27
282,64,1,68,18,13,41,59,17
283,82,95,66,97,4,9,92,11
284,28,17,59,37,23,86,71,83
285,39,18,38,25,35,20,21,2
286,20,47,62,27,29,40,28,80
287,65,74,43,69,28,69,77,45
288,86,70,94,100,77,43,93,35
289,82,86,46,8,79,7,82,77
290,47,67,6,44,1,72,42,45
291,18,22,59,85,86,82,27,26
292,53,96,47,64,73,87,99,9
293,18,97,43,37,1,76,0,18
294,73,91,92,18,98,29,30,20
295,85,55,71,76,60,14,77,68
296,27,82,0,77,56,3,3,11
297,4,73,88,100,21,20,62,69
298,7,72,4,62,9,79,86,25
299,46,25,37,99,7,34,74,33
300,12,17,13,63,69,38,39,7
301,4,58,78,7,36,29,69,29
302,87,69,56,80,16,60,97,15
303,2,69,52,47,98,19,36,54
304,5,22,72,47,21,22,64,42
305,20,45,38,96,1,68,67,69
306,93,79,30,55,47,19,31,86
307,95,81,58,63,52,47,58,5
308,61,7,93,3,12,8,87,58
309,31,23,41,44,19,87,30,92
310,54,66,96,88,66,60,67,75
311,1,39,44,30,19,32,51,31
312,70,90,85,91,55,14,79,88
313,6,16,76,15,43,55,41,88
314,24,26,10,71,2,54,29,80
315,51,39,90,41,46,48,96,49
316,94,9,89,0,38,24,9,83
317,57,70,21,52,83,36,9,9
318,15,56,2,84,6,47,55,73
319,60,68,43,76,86,40,34,57
320,94,44,11,75,88,35,44,13
321,100,97,49,47,36,94,17,97
322,50,65,76,2,24,40,85,64
323,64,77,0,60,9,97,53,66
324,85,48,18,96,93,29,92,77
325,13,68,5,89,1,57,96,19
326,100,18,27,67,69,31,85,54
327,27,10,59,59,36,100,10,55
328,17,42,100,32,71,64,58,65
329,51,30,95,93,13,85,86,45
330,62,84,77,92,54,11,78,77
331,48,3,2,100,43,20,87,42
332,28,73,60,51,32,4,0,26
333,44,22,60,79,60,53,78,91
334,17,73,46,10,52,28,51,59
335,38,16,36,36,69,90,93,22
336,1,21,98,3,6,88,9,67
337,31,3,58,65,71,65,16,86
338,82,51,96,34,26,21,43,10
339,91,34,9,55,2,72,44,54
340,83,12,68,100,85,30,1,9
341,82,0,93,62,15,19,42,1
342,51,46,61,43,16,1,98,5
343,17,2,32,64,9,68,16,93
344,93,22,21,67,99,30,98,66
345,83,65,79,55,60,15,77,22
346,27,89,12,39,79,56,1,83
347,45,97,68,74,60,56,41,60
348,66,75,15,80,8,3,35,10
349,84,95,81,16,39,62,61,62
350,0,2,96,0,41,13,59,35
351,7,6,15,91,4,42,15,65
352,45,75,63,47,7,18,61,82
353,39,49,96,82,11,99,51,62
354,92,60,15,11,20,44,69,53
355,81,45,5,50,69,63,27,49
356,10,44,38,32,20,79,13,53
357,15,45,80,19,64,90,51,7
358,10,79,10,29,88,60,38,84
359,12,85,83,97,62,80,25,61
360,64,66,36,34,23,88,16,96
361,69,16,46,15,94,83,84,10
362,6,69,44,23,94,32,83,31
363,34,64,8,16,2,37,14,20
364,32,83,81,82,92,71,6,38
365,86,41,69,53,57,1,11,6
366,35,32,82,70,65,64,64,1
367,3,84,28,90,20,72,91,9
368,62,70,13,70,19,27,5,11
369,66,31,7,18,86,46,54,25
370,10,10,84,32,76,0,59,62
371,23,59,69,25,24,94,4,25
372,68,81,97,27,90,53,73,39
373,98,85,71,2,5,12,71,99
374,71,87,84,34,40,9,55,12
375,52,86,27,63,20,20,34,36
376,12,79,86,36,34,20,95,29
377,30,0,83,18,22,12,34,79
378,53,28,72,24,100,20,99,30
379,80,81,34,61,78,3,29,79
380,20,84,61,86,67,65,52,81
381,57,87,82,63,53,84,20,14
382,30,72,51,48,90,25,35,16
383,96,30,30,98,46,16,19,51
384,89,0,83,19,78,63,83,67
385,17,87,34,87,80,0,33,5
386,52,46,57,29,14,47,35,74
387,58,75,29,27,15,60,98,92
388,19,66,10,40,91,93,95,51
389,63,90,89,97,15,24,62,48
390,8,97,78,78,91,41,1,46
391,79,63,95,39,1,12,36,79
392,89,66,98,16,21,50,15,78
393,54,86,15,62,16,35,29,0
394,77,4,36,1,73,47,62,58
395,19,41,68,8,95,76,88,21
396,64,63,85,15,73,92,96,52
397,41,10,91,8,95,36,47,14
398,95,47,76,3,86,75,79,48
399,54,35,17,76,99,61,15,96
400,84,43,43,94,96,25,18,1
401,29,82,40,87,24,79,31,75
402,29,46,39,65,13,75,37,21
403,76,79,47,3,61,52,87,84
404,45,10,52,54,86,72,0,18
405,28,52,96,19,79,18,23,84
406,36,73,91,87,78,29,56,8
407,45,14,22,7,77,62,40,53
408,98,65,78,81,48,10,4,73
409,15,66,22,71,59,24,80,66
410,67,0,30,77,40,30,13,25
411,5,79,24,72,5,98,12,95
412,88,75,89,28,45,26,11,86
413,32,25,64,53,92,92,29,31
414,53,16,12,90,39,61,34,42
415,76,55,52,44,51,13,76,40
416,10,86,27,83,26,88,43,9
417,51,17,32,39,18,38,68,81
418,83,21,37,95,49,78,95,61
419,0,55,91,72,27,64,33,16
420,88,16,15,37,100,41,71,44
421,69,26,78,85,57,62,52,73
422,14,94,70,90,63,9,90,98
423,46,17,62,78,40,23,78,68
424,57,42,63,4,50,62,21,64
425,82,13,63,42,54,91,41,57
426,53,46,57,33,11,43,54,40
427,82,32,88,30,11,80,13,24
428,17,67,7,27,88,99,29,75
429,54,19,11,60,77,99,83,12
430,39,49,46,83,35,10,57,77
431,98,49,48,96,88,54,56,59
432,98,12,8,0,13,60,18,56
433,5,68,68,23,87,93,81,93
434,67,62,58,33,8,55,27,13
435,14,42,98,70,8,100,74,1
436,76,42,39,68,18,27,95,20
437,29,78,69,7,5,63,0,96
438,72,94,51,79,1,65,38,50
439,98,91,15,45,97,65,84,0
440,45,18,88,17,100,23,51,33
441,82,96,86,46,13,66,18,76
442,32,54,21,99,10,13,91,56
443,6,20,95,73,60,70,94,64
444,53,49,76,26,86,63,65,34
445,53,98,81,65,47,56,63,98
446,43,61,64,10,87,50,97,55
447,45,70,66,74,65,72,4,51
448,72,96,29,82,97,3,71,41
449,7,93,50,45,0,38,19,65
450,89,7,59,50,46,67,70,52
451,70,43,56,64,9,5,77,53
452,70,28,59,51,10,20,65,91
453,7,72,55,42,79,26,27,89
454,52,99,96,25,41,10,60,58
455,58,59,71,22,65,77,13,65
456,40,74,6,63,18,23,85,67
457,64,56,27,69,81,18,36,20
458,21,14,65,5,53,90,89,40
459,31,53,63,65,8,55,6,93
460,56,90,45,79,88,70,66,44
461,5,86,95,11,12,62,46,25
462,45,37,87,27,20,31,24,43
463,9,5,8,99,54,26,11,74
464,68,78,36,26,23,86,94,46
465,89,88,68,67,26,59,71,30
466,41,10,72,50,7,18,63,2
467,9,41,53,16,53,21,23,8
468,92,56,15,77,96,80,2,87
469,3,63,92,18,74,26,7,94
470,68,19,40,82,81,41,87,58
471,84,52,18,76,85,90,23,44
472,27,90,8,75,70,5,30,96
473,81,21,60,97,63,28,24,20
474,37,69,22,8,4,10,49,62
475,6,18,98,69,51,73,95,86
476,92,74,0,25,40,29,78,10
477,16,29,56,0,22,65,58,79
478,57,70,52,60,26,73,37,43
479,80,33,58,66,90,2,5,71
480,35,82,96,30,75,60,32,58
481,79,37,78,47,87,34,7,21
482,77,49,59,67,25,32,40,88
483,60,44,96,72,86,93,3,66
