id,CT_21,CT_22,CT_23,TR_24,CT_25,CT_26,TR_27,TR_28,TR_29
474,98,83,33,65,29,89,65,86,96
475,23,45,17,57,7,7,69,1,55
476,98,73,33,58,18,13,71,75,43
477,63,41,90,0,39,33,75,28,28
478,67,45,55,19,16,80,41,69,57
479,63,29,98,72,57,24,62,25,77
480,7,55,46,9,31,4,66,59,13
481,33,55,75,29,68,80,53,39,24
482,66,87,3,23,24,13,35,64,2
483,89,75,45,14,64,33,42,64,93
484,43,39,41,11,30,55,41,3,77
485,42,93,59,13,41,24,57,5,56
486,5,3,11,75,41,8,92,89,38
487,50,68,48,59,12,73,64,33,17
488,95,89,100,47,78,16,9,31,36
489,0,31,11,85,84,72,63,49,70
490,28,71,61,8,90,38,50,79,15
491,64,12,2,60,25,76,5,33,25
492,44,81,73,2,41,61,2,65,70
493,8,12,57,40,2,46,57,18,36
494,39,6,29,41,2,85,87,51,95
495,5,37,62,7,28,86,11,11,3
